indicator,n,max_abs_diff,max_rel_diff,n_bad,verdict
atr,3609,4.285721625675587e-11,8.438811605596811e-08,0,MATCH
rsi,3609,5.000089231543825e-11,3.243626470480898e-12,0,MATCH
ema100,3609,4.99862373715132e-11,3.9558883890528926e-11,0,MATCH
hi20,3609,2.220446049250313e-16,1.7677584622399155e-16,0,MATCH
stretch,3609,4.999467506650035e-11,1.2806101599011702e-06,0,MATCH
sig_long,3609,0.0,0.0,0,MATCH
sig_short,3609,0.0,0.0,0,MATCH
