indicator,n,max_abs_diff,max_rel_diff,n_bad,verdict
bb_basis,352279,4.547473508864641e-11,1.2799164801422165e-14,0,MATCH
bb_dev,352279,4.999967107011116e-11,5.168173582058151e-10,0,MATCH
bb_upper,352279,5.002220859751105e-11,1.452129665748863e-14,0,MATCH
bb_lower,352279,5.002220859751105e-11,1.4516774780352155e-14,0,MATCH
atr,352279,5.000000413701855e-11,1.8067821163022381e-10,0,MATCH
h1_ema,352279,5.002220859751105e-11,1.4282130633027096e-14,0,MATCH
sig_long,352279,0.0,0.0,0,MATCH
sig_short,352279,0.0,0.0,0,MATCH
