Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
109,Exit short,2025-06-26 17:21,SL,3333.99,1,3331.24,-399.2,-0.08,0,180,0.04,-399.2,-0.08,646.37,0.06,47
109,Entry short,2025-06-26 16:34,M1 scalp down,3331.24,1,3331.24,-399.2,-0.08,0,180,0.04,-399.2,-0.08,646.37,0.06,47
110,Exit long,2025-06-26 18:00,SL,3331.81,2,6668.14,-656.13,-0.07,0,153.87,0.02,-656.13,-0.07,-9.76,0.00,5
110,Entry long,2025-06-26 17:55,M1 scalp up,3334.07,2,6668.14,-656.13,-0.07,0,153.87,0.02,-656.13,-0.07,-9.76,0.00,5
111,Exit short,2025-06-26 19:50,TSL,3329.77,2,6661.98,354.2,0.04,0,499.36,0.05,-145.16,-0.02,344.44,0.03,14
111,Entry short,2025-06-26 19:36,M1 scalp down,3330.99,2,6661.98,354.2,0.04,0,499.36,0.05,-145.16,-0.02,344.44,0.03,14
112,Exit short,2025-06-26 20:25,TSL,3329.64,2,6661.86,374.52,0.04,0,519.68,0.05,-423.87,-0.04,718.96,0.07,26
112,Entry short,2025-06-26 19:59,M1 scalp down,3330.93,2,6661.86,374.52,0.04,0,519.68,0.05,-423.87,-0.04,718.96,0.07,26
113,Exit short,2025-06-27 16:30,SL,3278.51,1,3273.97,-655.34,-0.14,0,425.82,0.09,-655.34,-0.14,63.62,0.01,67
113,Entry short,2025-06-27 15:23,M1 scalp down,3273.97,1,3273.97,-655.34,-0.14,0,425.82,0.09,-655.34,-0.14,63.62,0.01,67
114,Exit short,2025-06-27 16:57,SL,3277.7,2,6550.54,-701.53,-0.07,0,262.71,0.03,-701.53,-0.07,-637.91,-0.06,10
114,Entry short,2025-06-27 16:47,M1 scalp down,3275.27,2,6550.54,-701.53,-0.07,0,262.71,0.03,-701.53,-0.07,-637.91,-0.06,10
115,Exit short,2025-06-27 17:25,TSL,3274.86,2,6552.4,386.85,0.04,0,626.47,0.07,-210.75,-0.02,-251.06,-0.03,10
115,Entry short,2025-06-27 17:15,M1 scalp down,3276.2,2,6552.4,386.85,0.04,0,626.47,0.07,-210.75,-0.02,-251.06,-0.03,10
116,Exit short,2025-06-27 17:47,SL,3277.46,1,3274.81,-382.52,-0.08,0,0,0.00,-382.52,-0.08,-633.58,-0.06,1
116,Entry short,2025-06-27 17:46,M1 scalp down,3274.81,1,3274.81,-382.52,-0.08,0,0,0.00,-382.52,-0.08,-633.58,-0.06,1
117,Exit short,2025-06-27 20:15,SL,3274.16,1,3271.62,-366.64,-0.08,0,287.25,0.06,-366.64,-0.08,-1000.22,-0.10,29
117,Entry short,2025-06-27 19:46,M1 scalp down,3271.62,1,3271.62,-366.64,-0.08,0,287.25,0.06,-366.64,-0.08,-1000.22,-0.10,29
118,Exit short,2025-06-27 20:56,SL,3275.28,2,6546.9,-528.31,-0.06,0,138.57,0.01,-528.31,-0.06,-1528.53,-0.15,17
118,Entry short,2025-06-27 20:39,M1 scalp down,3273.45,2,6546.9,-528.31,-0.06,0,138.57,0.01,-528.31,-0.06,-1528.53,-0.15,17
119,Exit short,2025-06-30 13:39,TSL,3279.03,1,3282.32,475.81,0.10,0,634.89,0.13,-2.89,0.00,-1052.72,-0.11,4
119,Entry short,2025-06-30 13:35,M1 scalp down,3282.32,1,3282.32,475.81,0.10,0,634.89,0.13,-2.89,0.00,-1052.72,-0.11,4
120,Exit short,2025-06-30 14:00,SL,3287.42,1,3283.07,-629.11,-0.13,0,76.65,0.02,-629.11,-0.13,-1681.83,-0.17,16
120,Entry short,2025-06-30 13:44,M1 scalp down,3283.07,1,3283.07,-629.11,-0.13,0,76.65,0.02,-629.11,-0.13,-1681.83,-0.17,16
121,Exit short,2025-06-30 14:35,SL,3289.51,1,3284.84,-675.39,-0.14,0,114.25,0.02,-675.39,-0.14,-2357.22,-0.24,10
121,Entry short,2025-06-30 14:25,M1 scalp down,3284.84,1,3284.84,-675.39,-0.14,0,114.25,0.02,-675.39,-0.14,-2357.22,-0.24,10
122,Exit short,2025-06-30 14:51,TSL,3286.07,1,3288.61,367.34,0.08,0,511.97,0.11,-88.22,-0.02,-1989.88,-0.20,9
122,Entry short,2025-06-30 14:42,M1 scalp down,3288.61,1,3288.61,367.34,0.08,0,511.97,0.11,-88.22,-0.02,-1989.88,-0.20,9
123,Exit short,2025-06-30 15:13,TSL,3286,1,3288.54,367.34,0.08,0,543.78,0.11,-238.63,-0.05,-1622.53,-0.16,11
123,Entry short,2025-06-30 15:02,M1 scalp down,3288.54,1,3288.54,367.34,0.08,0,543.78,0.11,-238.63,-0.05,-1622.53,-0.16,11
124,Exit short,2025-06-30 16:02,SL,3291.53,1,3287.99,-511.97,-0.11,0,282.01,0.06,-511.97,-0.11,-2134.5,-0.21,43
124,Entry short,2025-06-30 15:19,M1 scalp down,3287.99,1,3287.99,-511.97,-0.11,0,282.01,0.06,-511.97,-0.11,-2134.5,-0.21,43
125,Exit short,2025-06-30 16:15,SL,3293.9,1,3290.95,-426.64,-0.09,0,78.1,0.02,-426.64,-0.09,-2561.14,-0.26,9
125,Entry short,2025-06-30 16:06,M1 scalp down,3290.95,1,3290.95,-426.64,-0.09,0,78.1,0.02,-426.64,-0.09,-2561.14,-0.26,9
126,Exit long,2025-06-30 17:45,SL,3293.33,1,3295.88,-368.79,-0.08,0,260.32,0.05,-368.79,-0.08,-2929.92,-0.29,34
126,Entry long,2025-06-30 17:11,M1 scalp up,3295.88,1,3295.88,-368.79,-0.08,0,260.32,0.05,-368.79,-0.08,-2929.92,-0.29,34
127,Exit long,2025-06-30 18:09,TSL,3296.9,2,6587.48,914.02,0.10,0,1058.64,0.11,-477.26,-0.05,-2015.91,-0.20,19
127,Entry long,2025-06-30 17:50,M1 scalp up,3293.74,2,6587.48,914.02,0.10,0,1058.64,0.11,-477.26,-0.05,-2015.91,-0.20,19
128,Exit long,2025-06-30 19:58,TSL,3308.75,2,6612.56,714.44,0.07,0,859.06,0.09,-297.92,-0.03,-1301.47,-0.13,14
128,Entry long,2025-06-30 19:44,M1 scalp up,3306.28,2,6612.56,714.44,0.07,0,859.06,0.09,-297.92,-0.03,-1301.47,-0.13,14
