Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
176,Exit long,2025-07-09 17:56,SL,3309.57,2,6623.94,-703.37,-0.07,0,316.52,0.03,-703.37,-0.07,-4754.57,-0.48,34
176,Entry long,2025-07-09 17:22,M1 scalp up,3311.97,2,6623.94,-703.37,-0.07,0,316.52,0.03,-703.37,-0.07,-4754.57,-0.48,34
177,Exit long,2025-07-09 20:10,SL,3313.26,2,6630.26,-548.04,-0.06,0,213.94,0.02,-548.04,-0.06,-5302.61,-0.53,23
177,Entry long,2025-07-09 19:47,M1 scalp up,3315.13,2,6630.26,-548.04,-0.06,0,213.94,0.02,-548.04,-0.06,-5302.61,-0.53,23
178,Exit long,2025-07-09 22:02,TSL,3314.64,2,6626.06,471.1,0.05,0,722.75,0.07,-495.29,-0.05,-4831.51,-0.48,45
178,Entry long,2025-07-09 20:17,M1 scalp up,3313.03,2,6626.06,471.1,0.05,0,722.75,0.07,-495.29,-0.05,-4831.51,-0.48,45
179,Exit long,2025-07-10 13:38,TSL,3325.91,1,3323.59,339.43,0.07,0,485.73,0.10,-228.24,-0.05,-4492.08,-0.45,7
179,Entry long,2025-07-10 13:31,M1 scalp up,3323.59,1,3323.59,339.43,0.07,0,485.73,0.10,-228.24,-0.05,-4492.08,-0.45,7
180,Exit long,2025-07-10 13:47,SL,3317.92,1,3322.73,-703.73,-0.14,0,38.04,0.01,-703.73,-0.14,-5195.81,-0.52,3
180,Entry long,2025-07-10 13:44,M1 scalp up,3322.73,1,3322.73,-703.73,-0.14,0,38.04,0.01,-703.73,-0.14,-5195.81,-0.52,3
181,Exit long,2025-07-10 15:23,TSL,3319.81,1,3317.23,377.47,0.08,0,531.09,0.11,-633.5,-0.13,-4818.34,-0.48,59
