campaign_id,start,end,close_reason,direction,bars,days,sleeves,n_sleeves,trades,max_gross_exposure_lots,max_net_exposure_lots,gross_pnl,spread_slip,commission,swap,lot_nights,net_pnl,risk_cash,gross_R,net_R,mae_usd,mfe_usd,mae_R,mfe_R
0,2022-02-22 00:00:00,2022-02-24 00:00:00,flat,long,13,2.0,"fast,medium,slow",3,3,0.09,0.09,-266.7920129028662,2.879999999999427,0.7065,-18.863999999999997,0.18,-289.2425129028656,266.79201290286676,-0.9999999999999979,-1.0841498205127025,-160.39125000000058,14.982749999995576,-0.6011846016484593,0.05615891509259864
1,2022-03-07 00:00:00,2022-03-14 12:00:00,flat,long,34,7.5,"fast,medium,slow",3,3,0.06,0.06,-232.85023187261777,1.599999999999909,0.314,-24.104,0.33999999999999997,-258.8682318726177,279.70534780892666,-0.832484018259398,-0.9255033337777178,-228.4780000000028,307.5405000000028,-0.8168524548772,1.099515981403727
2,2022-03-15 00:00:00,2022-03-17 04:00:00,flat,short,14,2.1666666666666665,fast,1,1,0.01,0.01,6.720000000000027,0.049999999999954525,0.03925,0.9431999999999999,0.02,7.573950000000073,54.80910209399597,0.12260737255785414,0.13818781389651258,0.0,34.218150000000605,0.0,0.6243150990015764
3,2022-03-23 20:00:00,2022-03-29 00:00:00,flat,long,20,5.166666666666667,fast,1,1,0.03,0.03,-91.35368448875101,1.0499999999997272,0.2355,-9.431999999999999,0.18,-102.07118448875075,91.35368448875104,-0.9999999999999997,-1.117318749210596,-74.439750000005,60.95024999999441,-0.8148521914206016,0.6671898384952344
4,2022-04-18 00:00:00,2022-04-19 00:00:00,flat,long,7,1.0,"fast,medium,slow",3,3,0.06,0.06,-204.83944221405773,1.7999999999997272,0.47100000000000003,-3.1439999999999997,0.06,-210.25444221405746,204.83944221405721,-1.0000000000000024,-1.0264353385337848,-75.67949999999837,42.96450000000186,-0.3694576551371063,0.20974720266570518
5,2022-05-11 00:00:00,2022-06-02 20:00:00,reversal,short,102,22.833333333333332,"fast,medium,slow",3,5,0.06,0.06,-253.4072886386043,2.1999999999993634,0.785,22.400999999999996,0.7900000000000003,-233.9912886386037,386.62391448180176,-0.6554361464635475,-0.60521680080816,-227.16445027400914,207.8984999999957,-0.5875592320213334,0.537727988913064
6,2022-06-03 00:00:00,2022-06-06 00:00:00,flat,long,7,3.0,"fast,medium",2,2,0.06,0.06,-171.7068798910268,1.8999999999996362,0.5495,-8.9604,0.2,-183.11677989102643,171.7068798910268,-1.0,-1.0664498708918413,-143.15283836459275,0.0,-0.8337047324804004,0.0
7,2022-08-02 00:00:00,2022-08-19 00:00:00,flat,long,79,17.0,"fast,medium",2,2,0.06,0.06,-161.22220280074657,2.2799999999992906,0.471,-40.872,0.54,-204.84520280074588,181.02440560149364,-0.8906103144769355,-1.1315888712359108,-188.67525000000023,26.10450000000128,-1.0422641597583762,0.1442043127459157
8,2022-08-22 00:00:00,2022-09-12 00:00:00,flat,short,91,21.0,"fast,medium,slow",3,4,0.09,0.09,-27.77537177088857,3.719999999998663,0.942,33.9552,1.2000000000000002,1.5178282291127658,308.5670586266359,-0.09001405365339592,0.0049189574411095125,-96.42149999999674,354.8839500000031,-0.31248150865211477,1.150103162597827
9,2022-09-26 00:00:00,2022-09-30 00:00:00,flat,short,25,4.0,"fast,medium,slow",3,3,0.06,0.06,-229.10028468658174,0.5999999999994543,0.47100000000000003,8.4888,0.24,-221.6824846865812,229.100284686582,-0.9999999999999989,-0.9676220393608475,-212.6067000000039,51.92369999999937,-0.9280071401519996,0.22664179606338328
