date,equity
2021-12-31,10000.0
2022-01-02,10000.0
2022-01-03,10000.0
2022-01-04,10000.0
2022-01-05,10000.0
2022-01-06,10000.0
2022-01-07,10000.0
2022-01-09,10000.0
2022-01-10,10000.0
2022-01-11,10000.0
2022-01-12,10000.0
2022-01-13,10000.0
2022-01-14,10000.0
2022-01-16,10000.0
2022-01-17,10000.0
2022-01-18,10000.0
2022-01-19,10000.0
2022-01-20,10000.0
2022-01-21,10000.0
2022-01-23,10000.0
2022-01-24,10000.0
2022-01-25,10000.0
2022-01-26,10000.0
2022-01-27,10000.0
2022-01-28,10000.0
2022-01-30,10000.0
2022-01-31,10000.0
2022-02-01,10000.0
2022-02-02,10000.0
2022-02-03,10000.0
2022-02-04,10000.0
2022-02-06,10000.0
2022-02-07,10000.0
2022-02-08,10000.0
2022-02-09,10000.0
2022-02-10,10000.0
2022-02-11,10000.0
2022-02-13,10000.0
2022-02-14,10000.0
2022-02-15,10000.0
2022-02-16,10000.0
2022-02-17,10000.0
2022-02-18,10000.0
2022-02-20,10000.0
2022-02-21,10000.0
2022-02-22,9988.307875
2022-02-23,10001.498275
2022-02-24,10001.41795
2022-02-25,10001.41795
2022-02-27,10001.41795
2022-02-28,10001.41795
2022-03-01,10001.41795
2022-03-02,10001.41795
2022-03-03,10001.41795
2022-03-04,10001.41795
2022-03-06,10001.41795
2022-03-07,9993.244
2022-03-08,10026.3748
2022-03-09,9985.758399999999
2022-03-10,9992.62695
2022-03-11,9991.07495
2022-03-13,9984.71415
2022-03-14,9978.534450000001
2022-03-15,9980.692265
2022-03-16,9979.364845
2022-03-17,9979.26092
2022-03-18,9979.26092
2022-03-20,9979.26092
2022-03-21,9979.26092
2022-03-22,9979.26092
2022-03-23,9978.479945000001
2022-03-24,9983.827745
2022-03-25,9983.122745
2022-03-27,9982.528145
2022-03-28,9971.816945
2022-03-29,9971.79017
2022-03-30,9971.79017
2022-03-31,9971.79017
2022-04-01,9971.79017
2022-04-03,9971.79017
2022-04-04,9971.79017
2022-04-05,9971.79017
2022-04-06,9971.79017
2022-04-07,9971.79017
2022-04-08,9971.79017
2022-04-10,9971.79017
2022-04-11,9971.79017
2022-04-12,9971.79017
2022-04-13,9971.79017
2022-04-14,9971.79017
2022-04-17,9971.79017
2022-04-18,9964.222220000001
2022-04-19,9964.16867
2022-04-20,9964.16867
2022-04-21,9964.16867
2022-04-22,9964.16867
2022-04-24,9964.16867
2022-04-25,9964.16867
2022-04-26,9964.16867
2022-04-27,9964.16867
2022-04-28,9964.16867
2022-04-29,9964.16867
2022-05-01,9964.16867
2022-05-02,9964.16867
2022-05-03,9964.16867
2022-05-04,9964.16867
2022-05-05,9964.16867
2022-05-06,9964.16867
2022-05-08,9964.16867
2022-05-09,9964.16867
2022-05-10,9964.16867
2022-05-11,9949.4066
2022-05-12,9970.46408
2022-05-13,9976.81208
2022-05-15,9974.81852
2022-05-16,9969.152
2022-05-17,9975.14444
2022-05-18,9975.975919999999
2022-05-19,9960.3734
2022-05-20,9957.2954
2022-05-22,9954.119840000001
2022-05-23,9953.94629
2022-05-24,9953.94629
2022-05-25,9953.94629
2022-05-26,9953.94629
2022-05-27,9953.94629
2022-05-29,9953.94629
2022-05-30,9953.94629
2022-05-31,9956.42792
2022-06-01,9950.239045
2022-06-02,9944.94343
2022-06-03,9931.33203
2022-06-05,9930.26283
2022-06-06,9930.209280000001
2022-06-07,9930.209280000001
2022-06-08,9930.209280000001
2022-06-09,9930.209280000001
2022-06-10,9930.209280000001
2022-06-12,9930.209280000001
2022-06-13,9930.209280000001
2022-06-14,9930.209280000001
2022-06-15,9930.209280000001
2022-06-16,9930.209280000001
2022-06-17,9930.209280000001
2022-06-19,9930.209280000001
2022-06-20,9930.209280000001
2022-06-21,9930.209280000001
2022-06-22,9930.209280000001
2022-06-23,9930.209280000001
2022-06-24,9930.209280000001
2022-06-26,9930.209280000001
2022-06-27,9930.209280000001
2022-06-28,9930.209280000001
2022-06-29,9930.209280000001
2022-06-30,9930.209280000001
2022-07-01,9930.209280000001
2022-07-03,9930.209280000001
2022-07-04,9930.209280000001
2022-07-05,9930.209280000001
2022-07-06,9930.209280000001
2022-07-07,9930.209280000001
2022-07-08,9930.209280000001
2022-07-10,9930.209280000001
2022-07-11,9930.209280000001
2022-07-12,9930.209280000001
2022-07-13,9930.209280000001
2022-07-14,9930.209280000001
2022-07-15,9930.209280000001
2022-07-17,9930.209280000001
2022-07-18,9930.209280000001
2022-07-19,9930.209280000001
2022-07-20,9930.209280000001
2022-07-21,9930.209280000001
2022-07-22,9930.209280000001
2022-07-24,9930.209280000001
2022-07-25,9930.209280000001
2022-07-26,9930.209280000001
2022-07-27,9930.209280000001
2022-07-28,9930.209280000001
2022-07-29,9930.209280000001
2022-07-31,9930.209280000001
2022-08-01,9930.209280000001
2022-08-02,9914.90253
2022-08-03,9917.934555
2022-08-04,9925.754355
2022-08-05,9920.111355
2022-08-07,9919.333755000001
2022-08-08,9923.631555
2022-08-09,9924.275955000001
2022-08-10,9923.434755
2022-08-11,9922.632555
2022-08-12,9926.811555
2022-08-14,9926.009955
2022-08-15,9918.808755
2022-08-16,9917.440155
2022-08-17,9914.495955
2022-08-18,9911.341755000001
2022-08-19,9911.31798
2022-08-21,9911.31798
2022-08-22,9915.74991
2022-08-23,9911.35035
2022-08-24,9907.483830000001
2022-08-25,9906.08331
2022-08-26,9916.65531
2022-08-28,9919.035750000001
2022-08-29,9916.23723
2022-08-30,9926.53167
2022-08-31,9936.843149999999
2022-09-01,9944.282595
2022-09-02,9931.727595
2022-09-04,9935.082255
2022-09-05,9921.758474999999
2022-09-06,9921.399150000001
2022-09-07,9915.626115
2022-09-08,9916.296855
2022-09-09,9915.426855
2022-09-11,9915.519075
2022-09-12,9915.408300000001
2022-09-13,9915.408300000001
2022-09-14,9915.408300000001
2022-09-15,9915.408300000001
2022-09-16,9915.408300000001
2022-09-18,9915.408300000001
2022-09-19,9915.408300000001
2022-09-20,9915.408300000001
2022-09-21,9915.408300000001
2022-09-22,9915.408300000001
2022-09-23,9915.408300000001
2022-09-25,9915.408300000001
2022-09-26,9913.74423
2022-09-27,9916.52667
2022-09-28,9900.47415
2022-09-29,9894.147630000001
2022-09-30,9893.926080000001
2022-10-02,9893.926080000001
2022-10-03,9893.926080000001
2022-10-04,9893.926080000001
2022-10-05,9893.926080000001
2022-10-06,9893.926080000001
2022-10-07,9893.926080000001
2022-10-09,9893.926080000001
2022-10-10,9893.926080000001
2022-10-11,9893.926080000001
2022-10-12,9893.926080000001
2022-10-13,9893.926080000001
2022-10-14,9893.926080000001
2022-10-16,9893.926080000001
2022-10-17,9893.926080000001
2022-10-18,9893.926080000001
2022-10-19,9893.926080000001
2022-10-20,9893.926080000001
2022-10-21,9875.87298
2022-10-23,9875.87298
2022-10-24,9875.87298
2022-10-25,9875.87298
2022-10-26,9873.889004999999
2022-10-27,9872.138805
2022-10-28,9868.71303
2022-10-30,9868.71303
2022-10-31,9868.71303
2022-11-01,9868.71303
2022-11-02,9868.71303
2022-11-03,9864.85965
2022-11-04,9861.413175
2022-11-06,9858.184575000001
2022-11-07,9858.396375
2022-11-08,9862.031025000002
2022-11-09,9861.352425000001
2022-11-10,9897.483825
2022-11-11,9919.227825
2022-11-13,9909.785025000001
2022-11-14,9915.181425
2022-11-15,9918.482625
2022-11-16,9913.853025
2022-11-17,9907.346850000002
2022-11-18,9900.339375000001
2022-11-20,9900.868115000001
2022-11-21,9899.098660000001
2022-11-22,9900.717620000001
2022-11-23,9894.69194
2022-11-24,9894.57624
2022-11-25,9894.57624
2022-11-27,9894.57624
2022-11-28,9894.57624
2022-11-29,9894.57624
2022-11-30,9899.49364
2022-12-01,9919.797140000002
2022-12-02,9919.44914
2022-12-04,9928.14674
2022-12-05,9887.487840000002
2022-12-06,9885.374240000001
2022-12-07,9892.00304
2022-12-08,9901.095840000002
2022-12-09,9903.264140000001
2022-12-11,9893.445740000001
2022-12-12,9884.71484
2022-12-13,9903.75674
2022-12-14,9888.36794
2022-12-15,9862.813040000001
2022-12-16,9875.32504
2022-12-18,9874.859440000002
2022-12-19,9868.448240000002
2022-12-20,9889.742140000002
2022-12-21,9892.72534
2022-12-22,9867.99844
2022-12-23,9870.57444
2022-12-26,9873.961640000001
2022-12-27,9879.47204
2022-12-28,9873.87684
2022-12-29,9882.329640000002
2022-12-30,9887.321640000002
2023-01-02,9889.34084
2023-01-03,9901.574740000002
2023-01-04,9918.36994
2023-01-05,9889.45104
2023-01-06,9913.89904
2023-01-08,9919.457440000002
2023-01-09,9918.799265
2023-01-10,9915.530065
2023-01-11,9923.225665000002
2023-01-12,9942.713265
2023-01-13,9966.264265000002
2023-01-15,9968.946065000002
2023-01-16,9956.115665000001
2023-01-17,9949.645465000001
2023-01-18,9940.498490000002
2023-01-19,9963.553315000001
2023-01-20,9957.338315
2023-01-22,9962.693115
2023-01-23,9965.757715000002
2023-01-24,9965.744515
2023-01-25,9974.221115
2023-01-26,9956.627715
2023-01-27,9954.383715000002
2023-01-29,9952.291515
2023-01-30,9948.910115
2023-01-31,9914.86354
2023-02-01,9915.823615000001
2023-02-02,9879.086290000001
2023-02-03,9892.046740000002
2023-02-05,9887.851180000001
2023-02-06,9887.54866
2023-02-07,9886.485100000002
2023-02-08,9883.187065000002
2023-02-09,9872.761705
2023-02-10,9871.705705000002
2023-02-12,9873.204925000002
2023-02-13,9871.794595000001
2023-02-14,9870.307255000002
2023-02-15,9886.332475000001
2023-02-16,9897.722695
2023-02-17,9885.707695000001
2023-02-19,9888.072355000002
2023-02-20,9886.574575
2023-02-21,9892.638235
2023-02-22,9900.518455000001
2023-02-23,9902.233675000001
2023-02-24,9915.778675000001
2023-02-26,9913.859335000001
2023-02-27,9911.029555000001
2023-02-28,9900.61522
2023-03-01,9898.3747
2023-03-02,9895.126180000001
2023-03-03,9895.787005000002
2023-03-05,9893.151005000002
2023-03-06,9890.494005
2023-03-07,9886.923455
2023-03-08,9887.036355000002
2023-03-09,9880.446730000001
2023-03-10,9883.039330000001
2023-03-12,9885.93373
2023-03-13,9924.85723
2023-03-14,9920.162830000001
2023-03-15,9928.402030000001
2023-03-16,9941.801230000003
2023-03-17,10021.373230000001
2023-03-19,9996.170830000001
2023-03-20,10008.070030000003
2023-03-21,9967.000730000002
2023-03-22,9986.67753
2023-03-23,10003.59433
2023-03-24,9993.64233
2023-03-26,9988.680730000002
2023-03-27,9976.83753
2023-03-28,9984.451930000001
2023-03-29,9976.784730000001
2023-03-30,9989.689555
2023-03-31,9978.062555
2023-04-02,9968.886355
2023-04-03,9961.86873
2023-04-04,9973.97918
2023-04-05,9970.985180000001
2023-04-06,9961.645180000001
2023-04-09,9949.999180000003
2023-04-10,9947.720030000002
2023-04-11,9952.027230000002
2023-04-12,9955.218655000002
2023-04-13,9970.491880000001
2023-04-14,9929.91833
2023-04-16,9928.433530000002
2023-04-17,9924.485355
2023-04-18,9925.554155000002
2023-04-19,9913.54216
2023-04-20,9907.475125
2023-04-21,9913.919125
2023-04-23,9913.879345000003
2023-04-24,9910.065085000002
2023-04-25,9909.968305
2023-04-26,9911.941045000001
2023-04-27,9913.703785000002
2023-04-28,9912.449785
2023-04-30,9914.510005000002
2023-05-01,9908.360230000002
2023-05-02,9907.957480000003
2023-05-03,9930.467080000002
2023-05-04,9924.949705
2023-05-05,9892.130155000003
2023-05-07,9892.012555000001
2023-05-08,9892.488355000001
2023-05-09,9896.939755000001
2023-05-10,9896.398555000002
2023-05-11,9890.496745
2023-05-12,9892.035745000001
2023-05-14,9891.866965000003
2023-05-15,9890.836705000002
2023-05-16,9896.964370000002
2023-05-17,9902.241850000002
2023-05-18,9921.689950000002
2023-05-19,9901.559950000003
2023-05-21,9899.077350000001
2023-05-22,9912.983150000002
2023-05-23,9905.98055
2023-05-24,9921.79635
2023-05-25,9940.61215
