date,equity
2021-12-31,10000.0
2022-01-02,10000.0
2022-01-03,10000.0
2022-01-04,10000.0
2022-01-05,10000.0
2022-01-06,10000.0
2022-01-07,10000.0
2022-01-09,10000.0
2022-01-10,10000.0
2022-01-11,10000.0
2022-01-12,10000.0
2022-01-13,10000.0
2022-01-14,10000.0
2022-01-16,10000.0
2022-01-17,10000.0
2022-01-18,10000.0
2022-01-19,10000.0
2022-01-20,10000.0
2022-01-21,10000.0
2022-01-23,10000.0
2022-01-24,10000.0
2022-01-25,10000.0
2022-01-26,10000.0
2022-01-27,10000.0
2022-01-28,10000.0
2022-01-30,10000.0
2022-01-31,10000.0
2022-02-01,10000.0
2022-02-02,10000.0
2022-02-03,10000.0
2022-02-04,10000.0
2022-02-06,10000.0
2022-02-07,10000.0
2022-02-08,10000.0
2022-02-09,10000.0
2022-02-10,10000.0
2022-02-11,10000.0
2022-02-13,10000.0
2022-02-14,10000.0
2022-02-15,10000.0
2022-02-16,10000.0
2022-02-17,10000.0
2022-02-18,10000.0
2022-02-20,10000.0
2022-02-21,10000.0
2022-02-22,10000.0
2022-02-23,10000.0
2022-02-24,10000.0
2022-02-25,10000.0
2022-02-27,10000.0
2022-02-28,10000.0
2022-03-01,10000.0
2022-03-02,10000.0
2022-03-03,10000.0
2022-03-04,10000.0
2022-03-06,10000.0
2022-03-07,10000.0
2022-03-08,10000.0
2022-03-09,10000.0
2022-03-10,10000.0
2022-03-11,10000.0
2022-03-13,10000.0
2022-03-14,10000.0
2022-03-15,10000.0
2022-03-16,10000.0
2022-03-17,10000.0
2022-03-18,10000.0
2022-03-20,10000.0
2022-03-21,10000.0
2022-03-22,10000.0
2022-03-23,10000.0
2022-03-24,10000.0
2022-03-25,10000.0
2022-03-27,10000.0
2022-03-28,10000.0
2022-03-29,10000.0
2022-03-30,10000.0
2022-03-31,10000.0
2022-04-01,10000.0
2022-04-03,10000.0
2022-04-04,10000.0
2022-04-05,10000.0
2022-04-06,10000.0
2022-04-07,10000.0
2022-04-08,10000.0
2022-04-10,10000.0
2022-04-11,10000.0
2022-04-12,10000.0
2022-04-13,10000.0
2022-04-14,10000.0
2022-04-17,10000.0
2022-04-18,10000.0
2022-04-19,10000.0
2022-04-20,10000.0
2022-04-21,10000.0
2022-04-22,10000.0
2022-04-24,10000.0
2022-04-25,10000.0
2022-04-26,10000.0
2022-04-27,10000.0
2022-04-28,10000.0
2022-04-29,10000.0
2022-05-01,10000.0
2022-05-02,10000.0
2022-05-03,10000.0
2022-05-04,10000.0
2022-05-05,10000.0
2022-05-06,10000.0
2022-05-08,10000.0
2022-05-09,10000.0
2022-05-10,10000.0
2022-05-11,10000.0
2022-05-12,10000.0
2022-05-13,10000.0
2022-05-15,10000.0
2022-05-16,10000.0
2022-05-17,10000.0
2022-05-18,10000.0
2022-05-19,10000.0
2022-05-20,10000.0
2022-05-22,10000.0
2022-05-23,10000.0
2022-05-24,10000.0
2022-05-25,10000.0
2022-05-26,10000.0
2022-05-27,10000.0
2022-05-29,10000.0
2022-05-30,10000.0
2022-05-31,10000.0
2022-06-01,10000.0
2022-06-02,10000.0
2022-06-03,10000.0
2022-06-05,10000.0
2022-06-06,10000.0
2022-06-07,10000.0
2022-06-08,10000.0
2022-06-09,10000.0
2022-06-10,10000.0
2022-06-12,10000.0
2022-06-13,10000.0
2022-06-14,10000.0
2022-06-15,10000.0
2022-06-16,10000.0
2022-06-17,10000.0
2022-06-19,10000.0
2022-06-20,10000.0
2022-06-21,10000.0
2022-06-22,10000.0
2022-06-23,10000.0
2022-06-24,10000.0
2022-06-26,10000.0
2022-06-27,10000.0
2022-06-28,10000.0
2022-06-29,10000.0
2022-06-30,10000.0
2022-07-01,10000.0
2022-07-03,10000.0
2022-07-04,10000.0
2022-07-05,10000.0
2022-07-06,10000.0
2022-07-07,10000.0
2022-07-08,10000.0
2022-07-10,10000.0
2022-07-11,10000.0
2022-07-12,10000.0
2022-07-13,10000.0
2022-07-14,10000.0
2022-07-15,10000.0
2022-07-17,10000.0
2022-07-18,10000.0
2022-07-19,10000.0
2022-07-20,10000.0
2022-07-21,10000.0
2022-07-22,10000.0
2022-07-24,10000.0
2022-07-25,10000.0
2022-07-26,10000.0
2022-07-27,10000.0
2022-07-28,10000.0
2022-07-29,10000.0
2022-07-31,10000.0
2022-08-01,10000.0
2022-08-02,10000.0
2022-08-03,10000.0
2022-08-04,10000.0
2022-08-05,10000.0
2022-08-07,10000.0
2022-08-08,10000.0
2022-08-09,10000.0
2022-08-10,10000.0
2022-08-11,10000.0
2022-08-12,10000.0
2022-08-14,10000.0
2022-08-15,10000.0
2022-08-16,10000.0
2022-08-17,10000.0
2022-08-18,10000.0
2022-08-19,10000.0
2022-08-21,10000.0
2022-08-22,10000.0
2022-08-23,10000.0
2022-08-24,10000.0
2022-08-25,10000.0
2022-08-26,10000.0
2022-08-28,10000.0
2022-08-29,10000.0
2022-08-30,10000.0
2022-08-31,10000.0
2022-09-01,10000.0
2022-09-02,10000.0
2022-09-04,10000.0
2022-09-05,10000.0
2022-09-06,9970.31875
2022-09-07,9970.2295
2022-09-08,9970.2295
2022-09-09,9970.2295
2022-09-11,9970.2295
2022-09-12,9970.2295
2022-09-13,9970.2295
2022-09-14,9970.2295
2022-09-15,9970.2295
2022-09-16,9970.2295
2022-09-18,9970.2295
2022-09-19,9970.2295
2022-09-20,9970.2295
2022-09-21,9970.2295
2022-09-22,9970.2295
2022-09-23,9970.2295
2022-09-25,9970.2295
2022-09-26,9970.2295
2022-09-27,9970.2295
2022-09-28,9970.2295
2022-09-29,9970.2295
2022-09-30,9970.2295
2022-10-02,9970.2295
2022-10-03,9970.2295
2022-10-04,9970.2295
2022-10-05,9970.2295
2022-10-06,9970.2295
2022-10-07,9970.2295
2022-10-09,9970.2295
2022-10-10,9970.2295
2022-10-11,9970.2295
2022-10-12,9970.2295
2022-10-13,9970.2295
2022-10-14,9970.2295
2022-10-16,9970.2295
2022-10-17,9970.2295
2022-10-18,9970.2295
2022-10-19,9970.2295
2022-10-20,9970.2295
2022-10-21,9970.2295
2022-10-23,9970.2295
2022-10-24,9970.2295
2022-10-25,9970.2295
2022-10-26,9970.2295
2022-10-27,9970.2295
2022-10-28,9970.2295
2022-10-30,9970.2295
2022-10-31,9970.2295
2022-11-01,9970.2295
2022-11-02,9970.2295
2022-11-03,9960.59605
2022-11-04,9946.9468
2022-11-06,9946.9468
2022-11-07,9946.9468
2022-11-08,9946.9468
2022-11-09,9946.9468
2022-11-10,9946.9468
2022-11-11,9946.9468
2022-11-13,9946.9468
2022-11-14,9946.9468
2022-11-15,9946.9468
2022-11-16,9946.9468
2022-11-17,9946.9468
2022-11-18,9947.30755
2022-11-20,9952.59495
2022-11-21,9955.46075
2022-11-22,9959.508150000001
2022-11-23,9944.44395
2022-11-24,9944.154700000001
2022-11-25,9944.154700000001
2022-11-27,9944.154700000001
2022-11-28,9944.154700000001
2022-11-29,9944.154700000001
2022-11-30,9956.4482
2022-12-01,10007.206950000002
2022-12-02,10006.33695
2022-12-04,10028.08095
2022-12-05,9926.433700000001
2022-12-06,9921.1497
2022-12-07,9937.721700000002
2022-12-08,9960.4537
2022-12-09,9965.874450000001
2022-12-11,9941.32845
2022-12-12,9919.5012
2022-12-13,9967.105950000001
2022-12-14,9928.633950000001
2022-12-15,9864.746700000002
2022-12-16,9896.026700000002
2022-12-18,9894.862700000001
2022-12-19,9878.834700000001
2022-12-20,9932.06945
2022-12-21,9939.527450000001
2022-12-22,9877.710200000001
2022-12-23,9884.150200000002
2022-12-26,9892.6182
2022-12-27,9906.3942
2022-12-28,9892.406200000001
2022-12-29,9913.5382
2022-12-30,9926.018200000002
2023-01-02,9931.066200000003
2023-01-03,9961.650950000003
2023-01-04,10003.638950000002
2023-01-05,9931.3417
2023-01-06,9992.461700000002
2023-01-08,10006.357700000002
2023-01-09,10005.329700000002
2023-01-10,9999.385700000003
2023-01-11,10010.824450000002
2023-01-12,10063.972450000003
2023-01-13,10128.202450000003
2023-01-15,10135.516450000001
2023-01-16,10100.524450000003
2023-01-17,10082.878450000002
2023-01-18,10057.291200000001
2023-01-19,10115.823200000003
2023-01-20,10104.523200000003
2023-01-22,10114.259200000002
2023-01-23,10119.831200000002
2023-01-24,10119.807200000001
2023-01-25,10133.205950000001
2023-01-26,10082.1787
2023-01-27,10078.098700000002
2023-01-29,10074.294700000002
2023-01-30,10068.146700000001
2023-01-31,9999.109700000003
2023-02-01,9999.109700000003
2023-02-02,9999.109700000003
2023-02-03,9999.109700000003
2023-02-05,9999.109700000003
2023-02-06,9999.109700000003
2023-02-07,9999.109700000003
2023-02-08,9999.109700000003
2023-02-09,9999.109700000003
2023-02-10,9999.109700000003
2023-02-12,9999.109700000003
2023-02-13,9999.109700000003
2023-02-14,9999.109700000003
2023-02-15,9999.109700000003
2023-02-16,9999.109700000003
2023-02-17,9954.501950000002
2023-02-19,9962.384150000002
2023-02-20,9957.391550000004
2023-02-21,9977.603750000002
2023-02-22,10003.871150000003
2023-02-23,10009.588550000004
2023-02-24,10054.738550000004
2023-02-26,10048.340750000003
2023-02-27,10038.908150000003
2023-02-28,10004.193700000003
2023-03-01,9996.725300000004
2023-03-02,9985.896900000003
2023-03-03,9981.299150000003
2023-03-05,9976.027150000002
2023-03-06,9970.713150000003
2023-03-07,9963.572050000002
2023-03-08,9963.797850000003
2023-03-09,9950.618600000003
2023-03-10,9957.100100000003
2023-03-12,9964.336100000004
2023-03-13,10061.644850000004
2023-03-14,10049.908850000003
2023-03-15,10070.506850000003
2023-03-16,10104.004850000003
2023-03-17,10302.934850000003
2023-03-19,10239.928850000002
2023-03-20,10269.676850000003
2023-03-21,10167.003600000004
2023-03-22,10216.195600000005
2023-03-23,10258.487600000004
2023-03-24,10233.607600000003
2023-03-26,10221.203600000003
2023-03-27,10191.595600000004
2023-03-28,10210.631600000004
2023-03-29,10191.463600000003
2023-03-30,10226.975600000005
2023-03-31,10205.835600000004
2023-04-02,10189.151600000005
2023-04-03,10199.258350000004
2023-04-04,10234.276350000004
2023-04-05,10231.282350000005
2023-04-06,10221.942350000005
2023-04-09,10210.296350000002
2023-04-10,10204.732350000004
2023-04-11,10215.500350000004
2023-04-12,10227.426350000003
2023-04-13,10250.952350000003
2023-04-14,10213.252350000002
2023-04-16,10209.540350000005
2023-04-17,10202.036350000004
2023-04-18,10212.724350000004
2023-04-19,10185.265100000004
2023-04-20,10185.265100000004
2023-04-21,10185.265100000004
2023-04-23,10185.265100000004
2023-04-24,10185.265100000004
2023-04-25,10185.265100000004
2023-04-26,10185.265100000004
2023-04-27,10185.265100000004
2023-04-28,10185.265100000004
2023-04-30,10185.265100000004
2023-05-01,10185.265100000004
2023-05-02,10185.265100000004
2023-05-03,10185.265100000004
2023-05-04,10185.265100000004
2023-05-05,10185.265100000004
2023-05-07,10185.265100000004
2023-05-08,10185.265100000004
2023-05-09,10185.265100000004
2023-05-10,10185.265100000004
2023-05-11,10185.265100000004
2023-05-12,10185.265100000004
2023-05-14,10185.265100000004
2023-05-15,10185.265100000004
2023-05-16,10185.265100000004
2023-05-17,10188.278200000004
2023-05-18,10249.946350000004
2023-05-19,10189.556350000003
2023-05-21,10182.108550000004
2023-05-22,10223.825950000004
2023-05-23,10202.818150000003
2023-05-24,10250.265550000004
2023-05-25,10306.712950000005
2023-05-26,10289.912950000005
2023-05-28,10306.735150000004
2023-05-29,10304.022550000003
2023-05-30,10257.528100000003
2023-05-31,10245.319700000004
2023-06-01,10219.641200000004
2023-06-02,10223.911950000003
2023-06-04,10226.019350000006
2023-06-05,10197.081700000004
2023-06-06,10191.116500000004
2023-06-07,10232.353050000005
2023-06-08,10215.408850000003
2023-06-09,10217.648850000003
2023-06-11,10221.106250000004
2023-06-12,10221.782050000005
2023-06-13,10235.959450000004
2023-06-14,10241.365250000004
2023-06-15,10181.039100000005
