sleeve,direction,entry_time,exit_time,entry_price,exit_price,lots,atr_at_entry,stop_price,stop_dist,reason,reason_code,points,gross,r_multiple,entry_bar,exit_bar,ambiguous,event_window
fast,long,2022-02-22 04:00:00,2022-02-24 04:00:00,1909.27,1913.34,0.003,11.857422795682968,1879.6264430107926,29.64355698920742,EXIT_PROTECTIVE_STOP,4,4.069999999999936,1.220999999999981,0.1372979633139753,219,230,False,
medium,long,2022-02-22 04:00:00,2022-02-24 04:00:00,1909.27,1913.34,0.003,11.857422795682968,1879.6264430107926,29.64355698920742,EXIT_PROTECTIVE_STOP,4,4.069999999999936,1.220999999999981,0.1372979633139753,219,230,False,
slow,long,2022-02-22 04:00:00,2022-02-24 04:00:00,1909.27,1913.34,0.003,11.857422795682968,1879.6264430107926,29.64355698920742,EXIT_PROTECTIVE_STOP,4,4.069999999999936,1.220999999999981,0.1372979633139753,219,230,False,
fast,long,2022-03-07 04:00:00,2022-03-10 04:00:00,1997.79,1974.6,0.002,18.647023187261777,1951.1724420318455,46.61755796815444,EXIT_CHANNEL,3,-23.190000000000055,-4.638000000000011,-0.4974520547781952,273,290,False,
medium,long,2022-03-07 04:00:00,2022-03-14 16:00:00,1997.79,1958.77,0.002,18.647023187261777,1951.1724420318455,46.61755796815444,EXIT_PROTECTIVE_STOP,4,-39.01999999999998,-7.803999999999997,-0.8370236816492075,273,305,False,
slow,long,2022-03-07 04:00:00,2022-03-14 16:00:00,1997.79,1958.77,0.002,18.647023187261777,1951.1724420318455,46.61755796815444,EXIT_PROTECTIVE_STOP,4,-39.01999999999998,-7.803999999999997,-0.8370236816492075,273,305,False,
fast,short,2022-03-15 04:00:00,2022-03-17 08:00:00,1941.01,1934.29,0.001,21.923640837598388,1995.819102093996,54.80910209399597,EXIT_CHANNEL,3,6.720000000000027,0.6720000000000027,0.12260737255785414,309,321,False,
fast,long,2022-03-24 00:00:00,2022-03-29 04:00:00,1943.71,1922.38,0.003,12.180491265166806,1913.258771837083,30.451228162917015,EXIT_PROTECTIVE_STOP,4,-21.329999999999927,-6.398999999999979,-0.7004643584778376,350,368,False,
fast,long,2022-04-18 04:00:00,2022-04-19 04:00:00,1987.42,1975.62,0.002,13.655962814270481,1953.2800929643238,34.1399070356762,EXIT_PROTECTIVE_STOP,4,-11.800000000000182,-2.3600000000000363,-0.34563655922288194,447,452,False,
medium,long,2022-04-18 04:00:00,2022-04-19 04:00:00,1987.42,1975.62,0.002,13.655962814270481,1953.2800929643238,34.1399070356762,EXIT_PROTECTIVE_STOP,4,-11.800000000000182,-2.3600000000000363,-0.34563655922288194,447,452,False,
