sleeve,direction,trades,gross_pnl,spread_slip,commission,swap,net_pnl,avg_holding_nights,total_lot_nights,gross_mean_R,net_mean_R,win_rate_pct
fast,long,90,3404.0800000000027,50.69639585174199,15.220422679327172,-997.1719999999999,2340.991181468933,6.377777777777778,14.95,0.43792505086903355,28.12337486483094,42.22222222222222
fast,short,75,-1207.78,39.83288245494013,11.958903533757061,307.24739999999997,-952.3243859886973,5.226666666666667,10.09,-0.19488095606719852,-11.288183652071035,26.666666666666668
medium,long,51,4068.870000000002,29.481378694431378,8.674797573866067,-1145.464,2885.2498237317045,11.372549019607844,17.1,0.986828944096582,34.93045990012775,45.09803921568628
medium,short,43,-2185.270000000003,24.121128022716587,7.097561651344965,216.93599999999992,-1999.552689674065,5.744186046511628,7.119999999999998,-0.6096363635136348,-23.492185546567708,16.27906976744186
slow,long,29,2454.6999999999985,30.895078578135877,8.595112681118653,-948.9640000000002,1466.2458087407438,16.93103448275862,14.170000000000002,1.0565842816516189,17.562321739325895,48.275862068965516
slow,short,17,-441.8799999999967,16.183136398071174,4.502201880585961,183.45239999999995,-279.11293827865387,12.0,6.1,-0.3597554789541575,-3.2721455526549925,23.52941176470588
TOTAL,,305,6092.720000000004,191.21000000003716,56.04899999999988,-2383.9642,3461.4967999999653,,69.53,,,
