component,usd
gross_price_pnl,5275.856782866615
spread_and_slippage,-228.080000000037
commission,-64.6447499999999
financing_swap,-2281.4959999999846
netting_and_lot_rounding,2.546585164964199e-11
net_to_account,2701.6360328666187
