component,usd
gross_price_pnl,5005.870000000004
spread_and_slippage,-154.08000000002653
commission,-45.333750000000016
financing_swap,-1555.8607999999817
netting_and_lot_rounding,-3308.7600000000016
net_to_account,-58.16455000000515
