sleeve,direction,entry_time,exit_time,entry_price,exit_price,lots,atr_at_entry,stop_price,stop_dist,reason,reason_code,points,gross,r_multiple,entry_bar,exit_bar,ambiguous,event_window
fast,long,2022-02-22 04:00:00,2022-02-24 00:00:00,1909.27,1879.6264430107926,0.02,11.857422795682968,1879.6264430107926,29.64355698920742,EXIT_PROTECTIVE_STOP,4,-29.643556989207354,-59.28711397841471,-0.9999999999999979,219,230,True,
medium,long,2022-02-22 04:00:00,2022-02-24 00:00:00,1909.27,1879.6264430107926,0.02,11.857422795682968,1879.6264430107926,29.64355698920742,EXIT_PROTECTIVE_STOP,4,-29.643556989207354,-59.28711397841471,-0.9999999999999979,219,230,True,
slow,long,2022-02-22 04:00:00,2022-02-24 00:00:00,1909.27,1879.6264430107926,0.02,11.857422795682968,1879.6264430107926,29.64355698920742,EXIT_PROTECTIVE_STOP,4,-29.643556989207354,-59.28711397841471,-0.9999999999999979,219,230,True,
fast,long,2022-03-07 04:00:00,2022-03-10 04:00:00,1997.79,1974.6,0.01,18.647023187261777,1951.1724420318455,46.61755796815444,EXIT_CHANNEL,3,-23.190000000000055,-23.190000000000055,-0.4974520547781952,273,290,False,
medium,long,2022-03-07 04:00:00,2022-03-14 15:55:00,1997.79,1951.1724420318455,0.01,18.647023187261777,1951.1724420318455,46.61755796815444,EXIT_PROTECTIVE_STOP,4,-46.617557968154415,-46.617557968154415,-0.9999999999999994,273,305,True,
slow,long,2022-03-07 04:00:00,2022-03-14 15:55:00,1997.79,1951.1724420318455,0.01,18.647023187261777,1951.1724420318455,46.61755796815444,EXIT_PROTECTIVE_STOP,4,-46.617557968154415,-46.617557968154415,-0.9999999999999994,273,305,True,
fast,short,2022-03-15 04:00:00,2022-03-17 08:00:00,1941.01,1934.29,0.01,21.923640837598388,1995.819102093996,54.80910209399597,EXIT_CHANNEL,3,6.720000000000027,6.720000000000027,0.12260737255785414,309,321,False,
fast,long,2022-03-24 00:00:00,2022-03-29 00:00:00,1943.71,1913.258771837083,0.02,12.180491265166806,1913.258771837083,30.451228162917015,EXIT_PROTECTIVE_STOP,4,-30.451228162917005,-60.90245632583401,-0.9999999999999997,350,368,False,
fast,long,2022-04-18 04:00:00,2022-04-19 00:00:00,1987.42,1953.2800929643238,0.01,13.655962814270481,1953.2800929643238,34.1399070356762,EXIT_PROTECTIVE_STOP,4,-34.13990703567629,-34.13990703567629,-1.0000000000000024,447,452,True,
medium,long,2022-04-18 04:00:00,2022-04-19 00:00:00,1987.42,1953.2800929643238,0.01,13.655962814270481,1953.2800929643238,34.1399070356762,EXIT_PROTECTIVE_STOP,4,-34.13990703567629,-34.13990703567629,-1.0000000000000024,447,452,True,
slow,long,2022-04-18 04:00:00,2022-04-19 00:00:00,1987.42,1953.2800929643238,0.01,13.655962814270481,1953.2800929643238,34.1399070356762,EXIT_PROTECTIVE_STOP,4,-34.13990703567629,-34.13990703567629,-1.0000000000000024,447,452,True,
fast,short,2022-05-11 04:00:00,2022-05-23 04:00:00,1832.4,1852.36,0.01,15.733367672920627,1871.7334191823018,39.33341918230157,EXIT_CHANNEL,3,-19.95999999999981,-19.95999999999981,-0.5074565195435894,549,596,False,
medium,short,2022-05-11 04:00:00,2022-05-23 04:00:00,1832.4,1852.36,0.01,15.733367672920627,1871.7334191823018,39.33341918230157,EXIT_CHANNEL,3,-19.95999999999981,-19.95999999999981,-0.5074565195435894,549,596,False,
fast,long,2022-05-23 04:00:00,2022-05-31 04:00:00,1852.36,1846.31,0.01,13.564589822798167,1818.4485254430044,33.911474556995415,EXIT_CHANNEL,3,-6.0499999999999545,-6.0499999999999545,-0.17840568949107913,597,632,False,
fast,short,2022-06-01 04:00:00,2022-06-02 00:00:00,1834.52,1862.120150091334,0.02,11.040060036533532,1862.120150091334,27.60015009133383,EXIT_PROTECTIVE_STOP,4,-27.600150091333944,-55.200300182667895,-1.0000000000000042,639,644,False,
slow,short,2022-05-11 04:00:00,2022-06-03 00:00:00,1832.4,1871.7334191823018,0.01,15.733367672920627,1871.7334191823018,39.33341918230157,EXIT_PROTECTIVE_STOP,4,-39.33341918230167,-39.33341918230167,-1.0000000000000024,549,650,False,
fast,long,2022-06-03 04:00:00,2022-06-06 00:00:00,1873.36,1844.7421866848288,0.02,11.447125326068454,1844.7421866848288,28.617813315171134,EXIT_PROTECTIVE_STOP,4,-28.617813315171134,-57.235626630342274,-1.0,651,656,True,
