year,start_equity,end_equity,pnl,return_pct,max_dd_pct,trades,campaigns
2021,10000.0,10000.0,0.0,0.0,0.0,0,0
2022,10000.0,9082.490100000008,-917.5098999999918,-9.17509899999992,16.01740561118499,39,15
2023,9082.490100000008,9712.871400000036,630.3813000000282,6.94062193362619,9.36613013592749,79,26
2024,9712.871400000036,8166.065800000012,-1546.8056000000242,-15.92531740922688,20.615509714566954,87,38
2025,8166.065800000012,9393.480549999995,1227.4147499999826,15.030674256873855,22.99971367277392,71,29
2026,9393.480549999995,9941.835449999995,548.3549000000003,5.837611491088901,24.514390046024282,25,12
