year,start_equity,end_equity,pnl,return_pct,max_dd_pct,trades,campaigns
2021,100000.0,100000.0,0.0,0.0,0.0,0,0
2022,100000.0,98274.22628771787,-1725.7737122821272,-1.7257737122821304,2.090891734273365,39,15
2023,98274.22628771787,99499.96464184033,1225.7383541224553,1.2472632962114094,2.1104386880428483,79,26
2024,99499.96464184033,98757.72200771348,-742.2426341268438,-0.7459727616975664,1.993481160569452,87,38
2025,98757.72200771348,101867.26382105102,3109.541813337535,3.148656884870893,2.350863908438746,73,31
2026,101867.26382105102,102795.9022460353,928.6384249842813,0.9116161464939321,2.7079578018363493,27,12
