component,usd
gross_price_pnl,6226.400000000005
spread_and_slippage,-223.69000000003825
commission,-66.2147499999998
financing_swap,-2366.3053999999843
netting_and_lot_rounding,-23.58000000000402
net_to_account,3546.609849999978
