sleeve,direction,trades,gross_pnl,spread_slip,commission,swap,net_pnl,avg_holding_nights,total_lot_nights,gross_mean_R,net_mean_R,win_rate_pct
fast,long,89,3139.6300000000037,40.19388812266079,12.0405767325399,-917.524,2169.871535144803,6.337078651685394,13.79,0.43490941995999083,28.907954095850926,42.69662921348314
fast,short,74,-1170.4800000000002,30.40755014496947,9.108958049834534,269.2836,-940.7129081948042,4.972972972972973,8.879999999999999,-0.22999666564964338,-12.621802575629555,25.675675675675674
medium,long,51,3634.7600000000025,17.252481399803596,5.015812680932091,-1033.328,2579.163705919267,11.27450980392157,15.4,0.9658472550381402,33.68273544116586,43.13725490196079
medium,short,41,-1959.3800000000037,13.620380052476522,3.9598521165253335,201.84479999999994,-1775.1154321690058,5.7317073170731705,6.6,-0.6196847864186394,-22.590838275991032,14.634146341463413
slow,long,29,1964.3299999999983,16.389216279734583,4.40262738570004,-806.436,1137.1021563345635,16.75862068965517,12.050000000000002,1.0196854491695317,15.274976385668293,44.827586206896555
slow,short,17,-602.9899999999961,9.396484000381161,2.524173034468023,173.78459999999995,-441.1260570348454,10.529411764705882,5.749999999999999,-0.5330326440456612,-5.743528907136266,17.647058823529413
TOTAL,,301,5005.870000000004,127.26000000002612,37.05199999999992,-2112.3750000000005,2729.1829999999786,,62.470000000000006,,,
