time,bar,sleeve,direction,equity,atr,entry_price,stop_price,stop_distance,raw_lots,rounded_lots,final_lots,minimum_lot,lot_step,override_considered,override_used,price_stop_loss,estimated_entry_cost,estimated_exit_cost,estimated_costs,actual_stop_risk,actual_stop_risk_pct,total_open_risk_before,total_open_risk_after,total_open_risk_pct_before,total_open_risk_pct_after,condition,reason
2022-02-22 00:00:00,218,fast,long,10000.0,11.857422795682968,1909.28,1879.6364430107926,29.64355698920742,0.023613900324271308,0.02,0.02,0.01,0.01,False,False,59.28711397841484,0.1785,0.1785,0.357,59.644113978414836,0.5964411397841484,0.0,59.644113978414836,0.0,0.5964411397841484,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
2022-02-22 00:00:00,218,medium,long,10000.0,11.857422795682968,1909.28,1879.6364430107926,29.64355698920742,0.023613900324271308,0.02,0.02,0.01,0.01,False,False,59.28711397841484,0.1785,0.1785,0.357,59.644113978414836,0.5964411397841484,0.0,59.644113978414836,0.0,0.5964411397841484,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
2022-02-22 00:00:00,218,slow,long,10000.0,11.857422795682968,1909.28,1879.6364430107926,29.64355698920742,0.023613900324271308,0.02,0.02,0.01,0.01,False,False,59.28711397841484,0.1785,0.1785,0.357,59.644113978414836,0.5964411397841484,0.0,59.644113978414836,0.0,0.5964411397841484,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
2022-03-07 00:00:00,272,fast,long,9807.171658064757,18.647023187261777,1997.72,1951.1024420318456,46.61755796815444,0.014726254355354665,0.01,0.01,0.01,0.01,False,False,46.61755796815444,0.08925,0.08925,0.1785,46.79605796815444,0.47716160784921635,0.0,46.79605796815444,0.0,0.47716160784921635,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
2022-03-07 00:00:00,272,medium,long,9807.171658064757,18.647023187261777,1997.72,1951.1024420318456,46.61755796815444,0.014726254355354665,0.01,0.01,0.01,0.01,False,False,46.61755796815444,0.08925,0.08925,0.1785,46.79605796815444,0.47716160784921635,0.0,46.79605796815444,0.0,0.47716160784921635,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
2022-03-07 00:00:00,272,slow,long,9807.171658064757,18.647023187261777,1997.72,1951.1024420318456,46.61755796815444,0.014726254355354665,0.01,0.01,0.01,0.01,False,False,46.61755796815444,0.08925,0.08925,0.1785,46.79605796815444,0.47716160784921635,0.0,46.79605796815444,0.0,0.47716160784921635,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
2022-03-15 00:00:00,308,fast,short,9677.559042128447,21.923640837598388,1940.98,1995.789102093996,54.80910209399597,0.012359792572175704,0.01,0.01,0.01,0.01,False,False,54.809102093995975,0.08925,0.33925,0.4285,55.237602093995974,0.5707803161265675,0.0,55.237602093995974,0.0,0.5707803161265675,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
2022-03-23 20:00:00,349,fast,long,9684.823742128448,12.180491265166806,1943.53,1913.078771837083,30.451228162917015,0.022263064672530097,0.02,0.02,0.01,0.01,False,False,60.90245632583403,0.6185,0.1785,0.797,61.69945632583403,0.6370736109263899,0.0,61.69945632583403,0.0,0.6370736109263899,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
2022-04-18 00:00:00,446,fast,long,9617.824285802613,13.655962814270481,1987.42,1953.2800929643238,34.1399070356762,0.019720255808038347,0.01,0.01,0.01,0.01,False,False,34.1399070356762,0.08925,0.08925,0.1785,34.3184070356762,0.356820898530403,0.0,34.3184070356762,0.0,0.356820898530403,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
2022-04-18 00:00:00,446,medium,long,9617.824285802613,13.655962814270481,1987.42,1953.2800929643238,34.1399070356762,0.019720255808038347,0.01,0.01,0.01,0.01,False,False,34.1399070356762,0.08925,0.08925,0.1785,34.3184070356762,0.356820898530403,0.0,34.3184070356762,0.0,0.356820898530403,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
