year,start_equity,end_equity,pnl,return_pct,max_dd_pct,trades,campaigns
2021,100000.0,100000.0,0.0,0.0,0.0,0,0
2022,100000.0,98873.21640000002,-1126.7835999999807,-1.126783599999981,1.7478231533510327,39,15
2023,98873.21640000002,100243.64200000005,1370.4256000000314,1.3860433086912538,1.835699317627333,79,26
2024,100243.64200000005,99817.7972,-425.8448000000499,-0.4248097849438137,2.05832960125273,86,38
2025,99817.7972,102779.30749999998,2961.51029999998,2.966916104215511,2.4492224620011096,73,31
2026,102779.30749999998,103711.99034999998,932.6828499999974,0.9074616989416917,2.603715466518894,28,12
