sleeve,direction,trades,gross_pnl,spread_slip,commission,swap,net_pnl,avg_holding_nights,total_lot_nights,gross_mean_R,net_mean_R,win_rate_pct
fast,long,74,824.1700000000014,19.39500821018437,5.849371428571413,-368.372,430.5536203612456,5.851351351351352,5.529999999999999,0.331201053568436,12.53110572662787,36.486486486486484
fast,short,56,-329.130000000001,15.758444170774798,4.752614285714272,123.08759999999998,-226.55345845649012,5.357142857142857,4.04,-0.16820416056587112,-5.988114791028488,26.785714285714285
medium,long,40,1668.5600000000009,11.155033613446639,3.317729936974783,-453.78400000000005,1200.3032364495793,11.8,6.78,1.1509362100735872,35.11778822053282,47.5
medium,short,34,-764.1400000000015,9.915585434174792,2.9490932773109186,87.48179999999999,-689.5228787114871,6.029411764705882,2.8700000000000006,-0.5635163258571736,-18.056358904775742,17.647058823529413
slow,long,24,1151.5199999999988,11.815584656085482,3.2675832671957643,-400.336,736.1008320767176,17.625,5.9799999999999995,1.3199412397901338,20.25277155530111,50.0
slow,short,14,-246.79999999999836,6.950343915344401,1.9221078042328028,80.17199999999998,-175.5004517195756,12.142857142857142,2.6400000000000006,-0.43968291354074435,-4.5112538883666256,21.428571428571427
TOTAL,,242,2304.1800000000003,74.99000000001048,22.058499999999952,-931.7506000000001,1275.3808999999897,,27.840000000000003,,,
