sleeve,direction,trades,gross_pnl,spread_slip,commission,swap,net_pnl,avg_holding_nights,total_lot_nights,gross_mean_R,net_mean_R,win_rate_pct
fast,long,90,3044.4019796524713,58.91480954676026,16.757764744204213,-979.356,1989.373405361507,6.388888888888889,14.69,0.42470593689986164,24.097905149200518,41.11111111111111
fast,short,75,-1541.8085821788843,46.18921068466005,13.138087559456103,307.4831999999999,-1293.6526804230007,5.2,10.100000000000001,-0.251194184851779,-15.463062666726943,25.333333333333336
medium,long,51,3977.5310606861403,39.77540770863435,10.901108074506345,-1139.176,2787.678544903,11.372549019607844,17.0,0.9750864819579043,34.01723636311448,43.13725490196079
medium,short,42,-2181.1870334720193,32.21247807389401,8.828362173015702,216.22859999999991,-2005.999273718929,5.738095238095238,7.089999999999999,-0.6250003136330061,-23.813383795684214,16.666666666666664
slow,long,29,2355.4584811793575,26.038787082055414,8.18406746742932,-950.5360000000002,1370.6996266298725,16.896551724137932,14.200000000000003,1.0120481021492007,16.4178937169628,44.827586206896555
slow,short,18,-501.63230983177095,14.879306904031665,4.676609981388184,188.16839999999996,-333.0198267171908,11.5,6.219999999999999,-0.3777497673278029,-3.911231282382119,22.22222222222222
TOTAL,,305,5152.763596035295,218.01000000003575,62.48599999999987,-2357.1878,2515.0797960352584,,69.3,,,
